altitude,zenith,decay,gauss_blur,ncontours
37,89,9,6,10
37,87,9,6,20
37,85,9,6,10
37,80,9,6,12
37,75,9,6,10
37,70,9,6,10
37,65,9,6,10
37,60,9,6,10
37,55,9,6,10
37,89,8,6,10
37,87,8,6,20
37,85,8,6,10
37,80,8,6,12
37,75,8,6,10
37,70,8,6,10
37,65,8,6,10
37,60,8,6,10
37,55,8,6,10
37,89,7,6,10
37,87,7,6,20
37,85,7,6,10
37,80,7,6,12
37,75,7,6,10
37,70,7,6,10
37,65,7,6,10
37,60,7,6,10
37,55,7,6,10
37,89,6,6,10
37,87,6,6,20
37,85,6,6,10
37,80,6,6,12
37,75,6,6,10
37,70,6,6,10
37,65,6,6,10
37,60,6,6,10
37,55,6,6,10
37,89,5,6,10
37,87,5,6,20
37,85,5,6,10
37,80,5,6,12
37,75,5,6,10
37,70,5,6,10
37,65,5,6,10
37,60,5,6,10
37,55,5,6,10
37,89,4,6,10
37,87,4,6,20
37,85,4,6,10
37,80,4,6,12
37,75,4,6,10
37,70,4,6,10
37,65,4,6,10
37,60,4,6,10
37,55,4,6,10
37,89,3,6,10
37,87,3,6,20
37,85,3,6,10
37,80,3,6,12
37,75,3,6,10
37,70,3,6,10
37,65,3,6,10
37,60,3,6,10
37,55,3,6,10
37,89,2,6,10
37,87,2,6,20
37,85,2,6,10
37,80,2,6,12
37,75,2,6,10
37,70,2,6,10
37,65,2,6,10
37,60,2,6,10
37,55,2,6,10
37,89,1,6,10
37,87,1,6,20
37,85,1,6,10
37,80,1,6,12
37,75,1,6,10
37,70,1,6,10
37,65,1,6,10
37,60,1,6,10
37,55,1,6,10
37,89,0,6,10
37,87,0,6,20
37,85,0,6,10
37,80,0,6,12
37,75,0,6,10
37,70,0,6,10
37,65,0,6,10
37,60,0,6,10
37,55,0,6,10
4,89,3.5,3,10
4,87,3.5,1.5,20
4,85,3.5,3,10
4,80,3.5,2,12
4,75,3.5,3,10
4,70,3.5,3,10
4,65,3.5,3,10
4,60,3.5,6,10
4,55,3.5,6,10
4,89,3,3,10
4,87,3,6,10
4,85,3,3,10
4,80,3,2,20
4,75,3,3,10
4,70,3,1.5,14
4,65,3,3,10
4,60,3,3,10
4,55,3,3,10
4,89,2.5,6,10
4,87,2.5,6,10
4,85,2.5,3,10
4,80,2.5,6,10
4,75,2.5,2,12
4,70,2.5,2,12
4,65,2.5,4,12
4,60,2.5,2,12
4,55,2.5,2,12
4,89,2,6,12
4,87,2,3,10
4,85,2,3,10
4,80,2,2,12
4,75,2,3,10
4,70,2,2,12
4,65,2,2,12
4,60,2,2,12
4,55,2,3,10
4,89,1.5,6,12
4,87,1.5,6,12
4,85,1.5,3,10
4,80,1.5,3,10
4,75,1.5,3,10
4,70,1.5,3,10
4,65,1.5,2,12
4,60,1.5,3,10
