Energy (eV), Exposure nu_tau (cm^2 s sr) (Earth-Skimming + Downward-going) ,Acceptance (cm^2 sr),Time,8.5,years
3.00E+16,20086250847,74.93303954,268056000,,
3.78E+16,2.90E+13,108186.3491,,,
4.75E+16,9.38E+14,3499268.81,,,
5.99E+16,1.02E+15,3805175.038,,,
7.54E+16,1.91E+15,7125376.787,,,
9.49E+16,3.58E+15,13355418.27,,,
1.19E+17,5.30E+15,19771987.94,,,
1.50E+17,9.23E+15,34433103.53,,,
1.89E+17,1.44E+16,53720118.18,,,
2.38E+17,2.12E+16,79087951.77,,,
3.00E+17,3.23E+16,120497209.5,,,
3.78E+17,4.17E+16,155564508.9,,,
4.75E+17,5.49E+16,204807950.6,,,
5.99E+17,6.95E+16,259274181.5,,,
7.54E+17,8.50E+16,317097919.8,,,
9.49E+17,1.05E+17,391709195.1,,,
1.19E+18,1.19E+17,443937087.8,,,
1.50E+18,1.34E+17,499895544.2,,,
1.89E+18,1.54E+17,574506819.5,,,
2.38E+18,1.76E+17,656579222.3,,,
3.00E+18,2.00E+17,746112752.6,,,
3.78E+18,2.13E+17,794610081.5,,,
4.75E+18,2.26E+17,843107410.4,,,
5.99E+18,2.41E+17,899065866.8,,,
7.54E+18,2.58E+17,962485450.8,,,
9.49E+18,2.75E+17,1025905035,,,
1.19E+19,2.85E+17,1063210672,,,
1.50E+19,2.93E+17,1093055182,,,
1.89E+19,3.03E+17,1130360820,,,
2.38E+19,3.13E+17,1167666458,,,
3.00E+19,3.24E+17,1208702659,,,
3.78E+19,3.29E+17,1227355478,,,
4.75E+19,3.32E+17,1238547169,,,
5.99E+19,3.36E+17,1253469424,,,
7.54E+19,3.41E+17,1272122243,,,
9.49E+19,3.46E+17,1290775062,,,
1.19E+20,3.51E+17,1309427881,,,
1.50E+20,3.56E+17,1328080700,,,
1.89E+20,3.61E+17,1346733518,,,
2.38E+20,3.67E+17,1369116901,,,
