,nu-sum,,nu-e,,,nu=mu,,,nu-tau,,,,
log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),,
16.41315224,12.31163477,9.77755E-07,16.44330309,12.00904959,4.8713E-07,16.36239799,12.0096656,4.87822E-07,16.32503722,12.02387787,5.0405E-07,2426,209606400
16.41597653,12.19544634,7.48242E-07,16.3680296,12.33398756,1.0294E-06,16.33707976,12.10484342,6.0735E-07,16.30113906,12.11228754,6.1785E-07,,
16.41597653,12.11830782,6.26474E-07,16.39057539,12.20876766,7.71548E-07,16.31460755,12.19917769,7.54698E-07,16.28656075,12.19348247,7.44866E-07,,
16.41541164,12.03607089,5.18402E-07,16.33426904,12.43403614,1.29608E-06,16.28936325,12.28747862,9.24856E-07,16.25856216,12.27768099,9.04225E-07,,
16.39480618,12.43632317,1.30292E-06,16.30363805,12.51584332,1.56473E-06,16.26135985,12.36978438,1.11784E-06,16.22502739,12.37039339,1.11941E-06,,
16.38155335,12.53352545,1.62975E-06,16.27611928,12.59569132,1.88056E-06,16.23340459,12.45191904,1.35056E-06,16.19434795,12.45596955,1.36322E-06,,
16.36239799,12.63638544,2.06529E-06,16.23969033,12.67686053,2.26702E-06,16.20549739,12.53459907,1.63378E-06,16.16397935,12.53659861,1.64132E-06,,
16.34244702,12.74423534,2.64747E-06,16.21386451,12.75575627,2.71864E-06,16.16928974,12.62608257,2.01687E-06,16.13273594,12.61960719,1.98702E-06,,
16.30899432,12.83071097,3.23077E-06,16.18042193,12.84276213,3.32168E-06,16.14149276,12.70273188,2.40618E-06,16.09711695,12.70183879,2.40123E-06,,
16.27535553,12.9157302,3.92939E-06,16.14704833,12.92848623,4.04652E-06,16.11147529,12.78981348,2.94042E-06,16.06391518,12.78136889,2.88379E-06,,
