,nu-tau double bang,,,,,
Energy (GeV),Effective Area (m^2) ,Solid Angle (sr),Acceptance (cm^2 sr),Exposure (cm^2 sr s),Observing time,
179692.254,0.062769403,12.56637061,7887.835838,6.22967E+11,914.1,78978240
193730.5525,0.080652415,12.56637061,10135.08143,8.00451E+11,"1. Aartsen, M. G. et al. Search for astrophysical tau neutrinos in three years of IceCube data. \prd 93, 022001 (2016).",
207442.1431,0.102759169,12.56637061,12913.09806,1.01985E+12,,
225183.0197,0.132750267,12.56637061,16681.89055,1.31751E+12,,
251219.783,0.168576266,12.56637061,21183.91838,1.67307E+12,,
280267.0444,0.213137493,12.56637061,26783.64726,2.11533E+12,,
306323.6789,0.270989341,12.56637061,34053.52493,2.68949E+12,,
334802.8179,0.348175988,12.56637061,43753.08505,3.45554E+12,,
378657.9478,0.434942404,12.56637061,54656.47441,4.31667E+12,,
440133.6753,0.516659331,12.56637061,64925.32635,5.12769E+12,,
508103.554,0.657024415,12.56637061,82564.12303,6.52077E+12,,
586570.0264,0.825382215,12.56637061,103720.5881,8.19167E+12,,
681800.6147,0.980454928,12.56637061,123207.5999,9.73072E+12,,
792492.0424,1.178736817,12.56637061,148124.437,1.16986E+13,,
921154.4015,1.411455426,12.56637061,177368.7198,1.40083E+13,,
1070705.302,1.664932483,12.56637061,209221.5863,1.6524E+13,,
1244536.032,1.886848912,12.56637061,237108.4273,1.87264E+13,,
1446588.46,2.123413417,12.56637061,266835.9996,2.10742E+13,,
1681444.426,2.484770168,12.56637061,312245.4282,2.46606E+13,,
1954429.636,2.867158853,12.56637061,360297.8076,2.84557E+13,,
2271734.435,3.262354495,12.56637061,409959.5565,3.23779E+13,,
2640554.178,3.598604362,12.56637061,452213.9611,3.57151E+13,,
3069252.401,3.645738496,12.56637061,458137.011,3.61829E+13,,
3567550.47,3.53788567,12.56637061,444583.8252,3.51124E+13,,
4146748.034,3.906442801,12.56637061,490898.0802,3.87703E+13,,
4819979.254,4.283276171,12.56637061,538252.358,4.25102E+13,,
5602510.647,4.580391338,12.56637061,575588.9511,4.5459E+13,,
6512087.272,4.77706326,12.56637061,600303.4738,4.74109E+13,,
7569335.127,4.97719523,12.56637061,625452.7988,4.93972E+13,,
8798228.873,5.134062131,12.56637061,645165.2749,5.0954E+13,,
10226635.5,5.012192522,12.56637061,629850.6882,4.97445E+13,,
11886946.24,5.077841681,12.56637061,638100.4048,5.0396E+13,,
13816811.1,5.606822811,12.56637061,704574.1341,5.5646E+13,,
16059992.63,5.96581414,12.56637061,749686.315,5.92089E+13,,
18667358.29,6.335095393,12.56637061,796091.5659,6.28739E+13,,
21698033.97,6.904614283,12.56637061,867659.4203,6.85262E+13,,
25220744.72,6.754224541,12.56637061,848760.888,6.70336E+13,,
28973715.57,6.575064992,12.56637061,826247.0351,6.52555E+13,,
34074771.29,7.608650751,12.56637061,956131.2522,7.55136E+13,,
39606865.27,8.047337087,12.56637061,1011258.203,7.98674E+13,,
46037103.63,8.579747939,12.56637061,1078162.924,8.51514E+13,,
53511301.53,9.521071454,12.56637061,1196453.125,9.44938E+13,,
62198947.5,10.85512097,12.56637061,1364094.732,1.07734E+14,,
70346259.22,12.23881707,12.56637061,1537975.112,1.21467E+14,,
